Total de Bytes Recebidos,Tempo Decorrido (s),Número de Pacotes,Taxa de Transferência (MB/s),Tamanho Esperado (bytes),Bytes Perdidos,Integridade dos Dados,Tamanho do Buffer (bytes)
104857600,2.9,103837,34.52,104857600,0,Aprovada,1024
104857600,2.01,28769,49.76,104857600,0,Aprovada,4096
104857600,2.01,14381,49.78,104857600,0,Aprovada,8192
104857600,2.04,7964,49.04,104857600,0,Aprovada,16384
104857600,2.01,6371,49.86,104857600,0,Aprovada,32768
209715200,5.7,206731,35.11,209715200,0,Aprovada,1024
209715200,3.99,54783,50.18,209715200,0,Aprovada,4096
209715200,3.97,28911,50.38,209715200,0,Aprovada,8192
209715200,4.01,15477,49.86,209715200,0,Aprovada,16384
209715200,4.03,9068,49.64,209715200,0,Aprovada,32768
104857600,0.97,104244,102.83,104857600,0,Aprovada,1024
104857600,0.98,27699,102.33,104857600,0,Aprovada,4096
104857600,0.99,14655,101.03,104857600,0,Aprovada,8192
104857600,0.99,17280,101.24,104857600,0,Aprovada,16384
104857600,0.99,4709,100.91,104857600,0,Aprovada,32768
209715200,1.96,208536,102.07,209715200,0,Aprovada,1024
209715200,1.96,55474,102.02,209715200,0,Aprovada,4096
209715200,1.96,29156,102.2,209715200,0,Aprovada,8192
209715200,1.97,15933,101.28,209715200,0,Aprovada,16384
209715200,1.96,9427,101.97,209715200,0,Aprovada,32768
524288000,4.91,521216,101.78,524288000,0,Aprovada,1024
524288000,4.91,138050,101.78,524288000,0,Aprovada,4096
524288000,4.91,76419,101.77,524288000,0,Aprovada,8192
524288000,4.94,38679,101.18,524288000,0,Aprovada,16384
524288000,4.95,22960,101.02,524288000,0,Aprovada,32768
1073741824,17.91,1065526,57.16,1073741824,0,Aprovada,1024
1073741824,10.08,282843,101.55,1073741824,0,Aprovada,4096
1073741824,10.05,147901,101.88,1073741824,0,Aprovada,8192
1073741824,10.1,79746,101.42,1073741824,0,Aprovada,16384
1073741824,10.13,47559,101.1,1073741824,0,Aprovada,32768
2147483648,34.61,2130314,59.17,2147483648,0,Aprovada,1024
2147483648,21.32,564289,96.05,2147483648,0,Aprovada,4096
2147483648,20.23,294087,101.23,2147483648,0,Aprovada,8192
2147483648,20.24,157366,101.21,2147483648,0,Aprovada,16384
2147483648,20.24,91404,101.16,2147483648,0,Aprovada,32768
