Total de Bytes Recebidos,Tempo Decorrido (s),Número de Pacotes,Taxa de Transferência (MB/s),Tamanho Esperado (bytes),Bytes Perdidos,Integridade dos Dados,Tamanho do Buffer (bytes)
103019520,3.01,100605,32.65,103019520,0,Aprovada,1024
104857600,2.98,25600,33.61,104857600,0,Aprovada,4096
104857600,2.97,12800,33.65,104857600,0,Aprovada,8192
104857600,2.98,6400,33.51,104857600,0,Aprovada,16384
104857600,2.98,3200,33.56,104857600,0,Aprovada,32768
209715200,3.95,204800,50.57,209715200,0,Aprovada,1024
209698816,3.94,51196,50.78,209698816,0,Aprovada,4096
209715200,3.93,25600,50.86,209715200,0,Aprovada,8192
209715200,3.96,12800,50.5,209715200,0,Aprovada,16384
209715200,3.96,6400,50.55,209715200,0,Aprovada,32768
524288000,6.78,512000,73.74,524288000,0,Aprovada,1024
524288000,6.8,128000,73.52,524288000,0,Aprovada,4096
524288000,6.84,64000,73.13,524288000,0,Aprovada,8192
524288000,6.89,32000,72.52,524288000,0,Aprovada,16384
524288000,6.88,16000,72.69,524288000,0,Aprovada,32768
1073741824,11.84,1048576,86.48,1073741824,0,Aprovada,1024
1073741824,11.85,262144,86.41,1073741824,0,Aprovada,4096
1073741824,11.9,131072,86.07,1073741824,0,Aprovada,8192
1073741824,12.03,65536,85.09,1073741824,0,Aprovada,16384
1073741824,11.99,32768,85.39,1073741824,0,Aprovada,32768
2147483648,21.6,2097152,94.83,2147483648,0,Aprovada,1024
2147405824,21.79,524269,93.97,2147405824,0,Aprovada,4096
2147401728,21.83,262134,93.8,2147401728,0,Aprovada,8192
2147483648,22.09,131072,92.7,2147483648,0,Aprovada,16384
2147483648,21.96,65536,93.25,2147483648,0,Aprovada,32768
